2650	4	(S L M N)
Artocarpus_lacucha	1111
Artocarpus_lanceifolius	1000
Artocarpus_lowii	1000
Artocarpus_nitidus	1011
Artocarpus_obtusus	1000
Artocarpus_odoratissimus	1000
Artocarpus_reticulatus	0110
Artocarpus_rigidus	1000
Artocarpus_sarawakensis	1000
Artocarpus_sepicanus	0001
Artocarpus_sericicarpus	1110
Artocarpus_tamaran	1000
Artocarpus_teijsmannii	0001
Ascarina_diffusa	0001
Ascarina_maheshwarii	0001
Ascarina_philippinensis	1101
Ascarina_subsessilis	0001
Asparagus_racemosus	1010
Astelia_alphina	0001
Atalaya_papuana	0001
Atuna_cordata	1000
Atuna_nannodes	1000
Atuna_racemosa	1001
Averrhoa_carambola	1000
Barringtonia_acutangula	1111
Barringtonia_apiculata	0111
Barringtonia_ashtonii	1000
Barringtonia_asiatica	1111
Barringtonia_auguasta	1000
Barringtonia_badia	1000
Barringtonia_calyptrata	0011
Barringtonia_calyptrocalys	0011
Barringtonia_chaniana	1000
Barringtonia_chantaranoi	1000
Barringtonia_clemensii	0001
Barringtonia_confusa	0010
Barringtonia_conoidea	1000
Barringtonia_corneri	1000
Barringtonia_curranii	1000
Barringtonia_edulis	0001
Barringtonia_filirachis	1000
Barringtonia_flagellata	1000
Barringtonia_fusiformis	1000
Barringtonia_gigantostachya	1000
Barringtonia_hallieri	1000
Barringtonia_jebbiana	0001
Barringtonia_lanceolata	1000
Barringtonia_latiffiana	1000
Barringtonia_longipes	1000
Barringtonia_longisepala	1000
Barringtonia_lumina	0001
Barringtonia_macrocarpa	1000
Barringtonia_macrostachya	1110
Barringtonia_maxwelliana	1000
Barringtonia_monticola	0001
Barringtonia_niedenzuana	0011
Barringtonia_norshamiae	1000
Barringtonia_novae-hiberniae	0011
Barringtonia_papeh	0001
Barringtonia_papuana	0001
Barringtonia_pauciflora	1000
Barringtonia_payensiana	1000
Barringtonia_pendula	1000
Barringtonia_pinnifolia	0001
Barringtonia_procera	0001
Barringtonia_pterita	1000
Barringtonia_racemosa	1111
Barringtonia_reticulata	1000
Barringtonia_revoluta	1000
Barringtonia_rimata	1000
Barringtonia_sarawakensis	1000
Barringtonia_sarcostachys	1000
Barringtonia_scortechinii	1000
Barringtonia_sepikensis	0001
Barringtonia_tagala	0001
Barringtonia_zainudiniana	1000
Bauhinia_acuminata	1000
Bauhinia_aherniana	1000
Bauhinia_ampla	0001
Bauhinia_audax	1000
Bauhinia_bassacensis	1000
Bauhinia_bidentata	1000
Bauhinia_binata	1111
Bauhinia_burbidgei	1000
Bauhinia_corymbosa	1111
Bauhinia_crudiantha	1000
